Entry_ID,Age,Home_City_Tier,Willingness_To_Relocate,Preferred_Work_Model,Bilingual_Proficiency,Highest_Education_Level,Institution_Tier,Formal_Academic_Score_Normalized,Self_Taught_Indicator,Active_Certifications_Count,Competitive_Event_Experience,Months_Formal_Experience,Months_Gig_Or_Freelance_Experience,Number_Of_Completed_Projects,Has_Public_Portfolio,Leadership_Role_Experience,Client_Facing_Experience,Communication_Fluency_Score,Logical_Reasoning_Score,Adaptability_To_New_Tech,Crisis_Management_Score,Team_Collaboration_Score,Negotiation_Skill_Level,Basic_Software_Proficiency,Advanced_Software_Proficiency,Generative_AI_Familiarity,Social_Media_Leverage_Score,Available_Hours_Per_Week,Risk_Tolerance_Profile,Physical_Stamina_Requirement,Mapped_Target_Industry,Equivalent_Job_Role,Market_Value_LPA,Employability_Tier
45,26,2,0,0,1,2,2,70.1,0,1,0,36,0,8,0,0,1,9,8,4,4,7,1,2,4,0,3,60,0,0,Fitness & Health,Gym Manager,5.1,0
46,38,1,1,0,1,4,3,56.4,0,0,0,0,24,6,0,0,0,3,3,6,10,5,3,4,5,1,6,40,1,1,GreenTech & Science,E-Waste Consultant,4.89,0
47,19,3,1,1,1,3,3,55.9,1,1,0,12,0,7,1,0,0,7,10,6,9,8,1,4,4,1,10,40,0,0,Events & PR,Corporate Event Host,4.93,0
48,37,3,1,0,0,2,3,77.7,1,2,0,48,0,6,0,0,1,6,9,7,9,7,1,2,3,0,3,30,0,1,Media & Content,Podcast Host,5.55,0
49,32,1,0,2,1,2,2,79.9,0,1,1,0,6,5,0,1,1,3,6,4,8,4,1,3,2,1,4,40,1,0,Design & Art,UI/UX Designer,4.61,0
50,24,3,0,2,1,2,3,75.3,0,0,0,24,0,4,1,0,0,3,9,10,4,10,1,3,5,1,10,40,1,0,Sales & People,Real Estate Agent,4.54,0
51,29,3,0,0,0,2,2,65.9,0,2,0,0,12,9,0,0,0,8,8,8,4,8,3,3,1,0,3,60,0,1,Sales & People,Retail Supervisor,4.82,0
52,25,3,1,2,1,2,2,75.3,1,0,0,36,6,7,0,0,1,4,4,4,7,6,1,5,1,0,8,40,1,0,Design & Art,UI/UX Designer,6.04,1
53,32,1,1,1,1,3,3,63.9,1,0,0,0,0,3,1,0,1,9,3,7,4,6,1,5,2,0,7,30,0,1,Tech & AI,Cybersecurity Trainee,5.44,0
54,20,3,1,2,0,3,3,73.5,1,0,1,0,6,6,0,1,0,7,10,4,8,9,3,2,3,1,8,30,0,0,Finance & Business,Business Consultant,4.46,0
55,31,2,0,2,1,2,2,86.1,1,0,0,24,0,5,0,1,1,8,10,9,10,8,2,5,1,1,4,50,0,0,Sales & People,Retail Supervisor,6.02,1
56,34,1,1,1,1,2,3,50.1,1,2,0,24,6,0,0,1,0,5,3,10,4,7,1,5,2,1,9,40,0,0,Education & Humanities,Life Coach,4.89,0
57,21,2,1,2,1,2,3,63.0,1,2,1,24,24,5,1,0,1,4,4,6,5,9,2,4,4,0,5,40,0,0,Design & Art,Fashion Stylist,4.95,0
58,35,2,0,0,0,2,2,58.6,1,0,1,48,0,9,1,0,1,10,3,9,3,5,1,5,4,1,1,50,0,0,Education & Humanities,Career Counselor,6.12,1
59,25,3,0,2,1,3,2,93.4,1,2,0,0,0,6,0,0,1,7,6,8,8,10,1,1,3,1,2,50,0,0,Design & Art,Interior Decorator,5.09,0
60,21,3,1,1,0,0,2,75.7,0,0,1,24,0,4,1,1,0,4,7,4,3,7,3,5,2,0,1,40,0,0,Fitness & Health,Yoga Instructor,4.21,0
61,19,3,1,1,1,2,3,58.5,1,2,0,0,0,5,1,0,0,10,6,9,7,10,1,5,3,0,8,30,1,1,Education & Humanities,Tutor,3.78,0
62,23,2,1,1,1,1,2,69.7,1,2,1,36,12,8,1,0,0,6,10,4,6,10,2,1,5,0,3,40,0,0,Manual & Vocational,Tailor,5.03,0
63,39,2,1,1,1,2,3,66.8,0,0,0,12,6,7,0,0,0,3,7,5,6,7,1,1,2,1,2,20,1,1,Automotive & Travel,Tour Guide,4.06,0
64,27,2,1,2,1,3,3,61.8,0,0,1,12,0,0,1,0,1,10,3,8,4,6,2,5,5,1,8,40,0,1,Design & Art,Interior Decorator,5.22,0
65,21,2,1,2,1,3,3,61.0,1,1,0,24,0,3,1,0,0,6,7,6,7,10,3,4,2,1,8,40,1,1,Fitness & Health,Gym Manager,4.61,0
66,39,3,0,1,1,2,2,48.1,1,0,1,48,0,2,0,1,0,3,10,4,7,10,2,5,2,1,9,40,0,0,Sales & People,HR Recruiter,5.88,0
67,35,3,1,1,1,0,2,60.6,1,0,1,48,0,9,1,1,0,8,3,9,5,10,3,2,4,1,6,50,0,1,Manual & Vocational,Carpenter,5.12,0
68,29,3,1,0,1,2,3,55.0,1,0,0,24,6,0,0,0,0,6,6,4,6,7,3,3,5,0,3,50,0,1,Fitness & Health,Gym Manager,3.48,0
69,19,3,1,1,0,2,2,87.0,1,3,0,12,6,8,1,0,0,4,10,6,6,9,1,1,2,1,9,60,1,1,Automotive & Travel,Travel Blogger,5.73,0
70,27,3,1,1,1,1,2,64.2,1,0,0,48,12,7,0,1,1,3,9,7,10,5,1,1,2,1,4,40,0,0,GreenTech & Science,Lab Assistant,8.14,1
71,21,2,1,2,1,1,3,61.9,1,1,1,36,0,6,0,1,1,4,8,9,6,4,1,2,4,1,6,40,0,1,Media & Content,Social Media Strategist,5.48,0
72,31,3,1,2,1,2,3,75.0,1,3,0,36,6,1,0,0,0,4,4,6,2,9,1,5,5,1,2,40,0,0,Sales & People,Retail Supervisor,5.86,0
73,33,3,0,1,1,2,3,66.2,0,1,1,12,0,0,1,1,1,9,7,7,7,7,1,4,3,1,1,40,0,1,Education & Humanities,Translator,4.6,0
74,32,3,1,2,1,2,3,52.0,1,2,1,0,0,6,1,0,0,8,5,4,10,8,2,3,2,1,3,20,0,1,Finance & Business,Business Consultant,5.01,0
75,25,3,1,2,1,2,3,63.0,1,1,1,36,6,1,1,0,1,10,4,7,8,4,1,1,4,0,10,50,1,1,Fitness & Health,Yoga Instructor,4.57,0
76,31,2,1,0,1,2,1,67.7,1,4,0,12,0,9,0,0,0,8,8,8,5,4,3,4,2,0,6,30,1,0,Automotive & Travel,Logistics Coordinator,5.9,0
77,25,3,1,0,0,3,3,82.6,1,0,0,60,24,8,1,1,0,4,9,5,3,7,1,4,5,1,3,30,1,0,Fitness & Health,Dietician,6.18,1
78,38,3,1,1,0,3,2,73.1,1,3,0,24,0,9,1,0,0,9,4,7,8,9,1,5,5,1,2,40,0,0,Finance & Business,Stock Trader,6.89,1
79,33,3,0,1,1,2,2,72.5,0,1,0,60,6,1,0,0,0,4,9,9,6,6,1,4,1,0,7,40,1,1,Fitness & Health,Personal Trainer,5.33,0
80,30,3,0,2,1,3,1,58.8,1,0,0,0,0,2,0,0,0,5,6,7,6,7,1,2,3,1,7,40,1,0,Media & Content,Video Editor,5.4,0
81,35,1,1,2,1,3,3,73.2,1,1,0,12,6,5,1,0,0,10,10,6,10,9,1,2,4,1,10,40,1,0,Manual & Vocational,Tailor,4.04,0
82,32,3,0,0,1,1,3,66.0,0,1,0,24,6,2,1,0,1,8,5,4,5,9,3,2,2,1,6,60,1,1,GreenTech & Science,E-Waste Consultant,6.35,1
83,38,1,1,1,1,0,3,70.5,1,0,0,0,0,3,0,0,1,8,6,5,10,6,1,2,5,0,8,50,1,0,Events & PR,Wedding Planner,4.22,0
84,30,1,0,0,1,3,2,58.8,1,1,1,0,0,2,1,0,1,7,5,10,9,9,1,2,4,1,6,30,0,0,Sales & People,Retail Supervisor,4.42,0
85,26,3,1,0,1,4,3,74.7,1,0,0,36,24,0,0,1,1,10,8,9,9,4,1,3,2,1,5,20,0,1,Events & PR,PR Executive,5.98,0
86,32,2,1,1,1,2,2,74.9,1,0,0,24,0,3,1,0,0,6,3,9,7,9,1,1,2,1,5,60,0,0,Events & PR,Corporate Event Host,5.87,0
87,30,3,1,2,0,2,3,55.3,0,0,1,0,0,4,0,1,0,3,7,6,7,9,1,5,2,1,6,40,1,0,Sales & People,Real Estate Agent,3.79,0
88,18,3,0,1,1,2,3,62.1,0,4,1,0,6,4,1,1,0,7,10,6,3,9,1,5,4,0,6,50,1,1,Tech & AI,Data Analyst,6.54,1
89,24,2,0,2,1,0,1,60.7,1,0,1,24,0,6,1,1,0,6,3,9,10,7,1,5,1,0,6,40,0,1,Design & Art,Interior Decorator,6.39,1
90,26,3,0,2,1,2,3,78.3,1,0,0,0,24,6,0,1,0,7,6,10,5,10,2,2,1,1,7,40,0,1,Tech & AI,Data Analyst,5.2,0
91,18,3,0,2,1,1,2,80.3,1,1,0,48,0,5,1,0,1,10,8,5,4,10,2,1,4,0,6,30,0,0,Sales & People,Retail Supervisor,6.57,1
92,29,2,0,2,1,0,3,51.5,1,4,1,12,6,4,0,0,1,7,3,10,7,5,1,1,1,0,4,40,1,0,Tech & AI,Prompt Engineer,5.74,0
93,25,3,0,0,0,3,3,69.0,1,1,0,12,0,7,0,0,0,3,10,8,4,6,2,4,1,1,9,40,0,1,Fitness & Health,Gym Manager,3.44,0
94,28,3,1,2,0,2,2,65.9,0,3,1,60,0,4,1,1,0,4,3,9,5,10,1,5,2,0,4,50,0,0,Manual & Vocational,Tailor,6.06,1
95,36,3,0,1,1,2,3,64.5,1,1,0,0,12,3,1,0,1,9,5,7,7,8,1,1,1,0,6,40,0,1,Fitness & Health,Sports Physiotherapist,3.49,0
96,34,3,1,2,1,2,3,75.7,1,0,1,12,12,4,0,0,0,4,5,10,5,9,3,4,1,1,1,50,1,0,Tech & AI,Cloud Architect,5.81,0
97,25,3,0,2,1,4,3,79.0,1,2,1,0,24,8,0,1,1,10,9,9,4,4,2,1,1,0,4,40,0,0,Events & PR,Wedding Planner,4.79,0
98,20,3,1,2,1,1,3,77.4,1,0,1,24,6,3,0,0,1,7,5,7,8,9,1,4,1,1,6,40,0,0,Automotive & Travel,Tour Guide,5.47,0
99,20,3,0,2,1,1,3,79.4,1,1,1,0,0,0,1,0,1,5,9,5,2,7,2,3,4,0,7,40,0,0,Design & Art,Interior Decorator,4.61,0
100,18,2,1,1,1,2,3,82.2,1,2,1,12,0,9,0,0,1,6,8,5,10,6,1,1,4,0,7,50,1,1,Automotive & Travel,Mechanic,4.77,0
101,22,3,1,2,1,3,3,69.0,1,1,0,48,24,8,1,0,0,10,7,4,4,9,1,4,4,1,3,40,0,0,Sales & People,B2B Sales Exec,7.62,1
102,27,2,1,1,1,3,2,79.2,0,2,0,0,6,8,0,0,0,5,8,7,2,10,3,3,3,1,8,50,0,1,Tech & AI,Cybersecurity Trainee,7.66,1
103,24,3,1,2,1,2,3,77.1,0,2,0,24,24,5,0,0,0,8,5,10,2,5,1,5,5,1,3,30,0,1,Tech & AI,Cloud Architect,6.32,1
104,26,3,1,2,1,2,3,77.2,1,0,1,24,0,4,1,0,1,7,7,8,6,6,2,1,5,1,1,40,0,0,Education & Humanities,Life Coach,5.12,0
105,24,3,1,1,1,2,1,58.1,1,3,0,0,6,0,1,0,0,10,5,6,6,9,3,4,5,1,2,40,0,0,Automotive & Travel,Travel Blogger,5.99,0
106,26,1,1,1,1,2,3,71.7,1,2,1,60,12,6,1,0,1,9,5,6,4,7,2,3,2,1,9,40,0,0,Design & Art,Animator,7.02,1
107,25,3,0,2,1,2,3,70.2,1,1,1,0,0,1,1,0,1,4,6,5,6,9,1,3,3,0,5,20,0,1,Finance & Business,Startup Founder,4.49,0
108,29,1,1,0,1,0,3,79.4,0,0,0,60,0,4,0,0,0,7,7,5,8,5,1,4,4,0,5,60,1,1,Tech & AI,Cloud Architect,6.58,1
109,19,3,1,1,0,2,3,68.2,1,4,1,0,0,4,1,0,0,6,8,10,10,8,1,2,3,1,7,20,1,1,Manual & Vocational,Chef,3.74,0
110,18,3,1,1,1,2,1,64.8,0,1,0,36,0,1,0,0,0,5,7,10,5,5,1,4,1,1,4,40,1,0,GreenTech & Science,E-Waste Consultant,8.33,1
111,33,3,1,2,1,2,2,72.9,0,1,0,12,6,6,1,1,0,9,7,5,10,10,1,3,3,1,1,20,0,0,Media & Content,Social Media Strategist,6.1,1
112,22,2,0,2,0,1,1,67.5,0,0,0,24,0,9,1,0,0,7,9,9,3,8,1,4,1,1,8,20,1,1,Finance & Business,Business Consultant,7.74,1
113,20,3,1,1,1,2,1,78.8,1,4,0,0,6,5,0,1,1,8,7,10,5,8,1,1,4,0,8,30,0,1,Automotive & Travel,Travel Blogger,5.34,0
114,29,3,0,1,0,2,3,63.3,1,3,0,36,24,7,0,1,0,7,3,5,6,8,2,2,1,1,3,40,0,1,Design & Art,Interior Decorator,5.6,0
115,25,3,0,2,1,1,2,79.9,0,0,0,0,0,3,0,0,0,7,5,6,5,10,1,2,2,1,6,40,1,0,GreenTech & Science,Research Analyst,5.08,0
116,39,3,1,1,1,0,2,57.5,1,3,0,12,0,6,1,0,0,5,5,4,3,7,1,5,5,0,4,40,0,1,Tech & AI,Cybersecurity Trainee,6.13,1
117,20,2,1,1,1,2,3,74.9,1,1,0,48,6,3,0,0,0,6,7,9,2,9,2,1,2,0,2,30,1,1,Fitness & Health,Personal Trainer,4.58,0
118,18,3,1,0,1,2,2,70.3,0,1,0,24,0,1,0,1,0,10,8,4,7,4,3,4,3,1,5,20,1,0,Sales & People,Retail Supervisor,5.61,0
119,20,3,0,2,1,2,2,77.5,1,1,0,48,6,2,1,0,0,10,5,4,10,6,1,2,4,1,6,40,1,0,Design & Art,UI/UX Designer,7.63,1
120,22,3,1,1,1,1,3,64.0,0,1,0,60,0,7,0,0,0,9,4,7,6,8,2,2,2,1,6,40,1,1,Finance & Business,Financial Analyst,7.11,1
121,32,3,0,2,1,2,3,69.8,0,2,0,12,24,9,1,0,0,3,3,7,8,9,3,1,1,0,3,30,1,0,Automotive & Travel,Test Driver,5.15,0
122,31,2,1,1,1,3,2,72.1,0,3,1,0,6,2,1,0,0,5,3,9,10,5,2,3,3,1,1,40,0,1,Finance & Business,Financial Analyst,5.96,0
123,20,3,1,2,1,2,2,80.2,0,1,0,24,24,7,0,0,1,4,8,5,9,4,2,1,5,1,9,40,1,1,Events & PR,Talent Manager,5.64,0
124,18,1,1,1,1,1,1,81.4,0,0,0,24,12,4,0,0,1,3,10,4,5,6,1,5,5,1,10,40,0,0,Media & Content,Podcast Host,6.24,1
125,22,3,1,0,0,3,3,63.6,1,0,0,0,12,3,0,0,0,9,4,8,4,6,2,4,5,1,4,40,1,1,Design & Art,Fashion Stylist,4.13,0
126,31,3,1,2,1,2,2,55.9,0,3,1,12,0,2,0,0,0,4,9,5,7,4,1,5,2,1,7,20,0,0,Finance & Business,Accountant,5.88,0
127,24,3,1,2,1,2,3,63.8,1,2,0,24,0,7,1,0,0,6,9,7,2,10,1,3,5,1,6,40,0,0,Automotive & Travel,Mechanic,5.8,0
128,26,3,1,0,1,3,3,62.0,1,1,1,24,0,2,0,0,0,5,6,7,6,8,2,3,2,1,4,40,1,1,Fitness & Health,Gym Manager,3.9,0
129,32,1,1,1,0,2,3,55.3,1,0,1,0,24,5,1,1,0,3,8,8,8,9,1,3,2,0,7,40,0,0,Events & PR,Talent Manager,3.7,0
130,32,1,1,1,1,3,3,64.5,1,1,0,24,6,4,1,0,0,8,7,8,4,5,2,1,1,1,1,30,0,0,Fitness & Health,Gym Manager,4.73,0
131,27,2,1,1,1,2,3,66.4,0,4,0,60,24,8,0,0,1,4,10,5,4,4,3,5,3,1,2,40,1,0,Finance & Business,Startup Founder,7.25,1
132,30,1,1,1,1,3,3,73.3,1,0,1,0,0,9,1,0,0,8,10,7,7,8,3,4,5,1,2,40,0,1,Sales & People,B2B Sales Exec,5.28,0
133,36,3,1,2,1,2,2,96.4,1,2,1,36,0,6,1,0,0,5,3,4,4,4,3,4,4,0,8,40,0,0,Finance & Business,Startup Founder,6.87,1
134,24,2,0,1,1,4,3,66.6,1,0,0,60,12,1,0,0,1,4,9,4,6,9,2,5,2,0,8,60,0,1,Fitness & Health,Dietician,5.42,0
135,34,3,0,1,1,2,3,86.5,1,1,1,60,0,8,0,0,1,9,10,9,4,10,3,5,3,0,1,40,0,0,Finance & Business,Financial Analyst,6.46,1
136,37,3,1,2,0,2,3,58.2,0,1,1,0,0,7,0,1,0,10,8,10,4,10,1,2,3,1,3,50,1,0,Education & Humanities,Translator,3.53,0
137,21,3,0,2,1,1,3,79.8,0,0,0,36,12,7,0,1,0,10,3,5,6,4,2,5,3,0,3,60,0,0,Automotive & Travel,Mechanic,5.0,0
138,22,3,1,2,1,2,3,74.8,1,0,0,60,0,7,1,0,1,6,10,9,8,10,2,2,1,1,6,40,0,1,GreenTech & Science,Lab Assistant,8.09,1
139,24,2,0,2,1,2,2,64.0,1,0,0,24,0,4,0,0,0,3,3,5,4,5,3,1,5,1,6,50,0,0,Education & Humanities,Historian/Archivist,5.12,0
140,30,2,1,0,1,3,3,69.9,0,2,0,12,0,5,1,1,0,10,7,7,8,5,3,5,2,0,3,50,0,0,Media & Content,Copywriter,5.9,0
141,32,2,1,1,1,2,3,73.4,1,2,1,12,12,5,0,0,1,5,8,10,7,10,3,4,3,1,7,40,1,1,Education & Humanities,Translator,4.36,0
142,28,3,1,2,1,2,2,66.2,0,0,1,36,24,8,0,0,0,9,5,6,9,6,3,5,3,1,8,60,1,0,Automotive & Travel,Mechanic,6.01,1
143,21,3,1,1,1,3,3,65.5,0,2,1,12,6,7,0,0,0,6,7,9,2,6,2,3,5,1,1,40,0,1,Media & Content,Video Editor,4.81,0
144,30,2,0,1,1,3,3,68.3,0,0,0,24,0,2,0,0,1,8,3,10,7,6,2,2,5,0,10,40,0,0,Events & PR,Talent Manager,5.15,0
145,24,3,1,2,1,2,3,72.1,1,3,1,0,0,0,1,1,1,7,6,10,10,5,2,1,5,0,7,20,0,0,Events & PR,Corporate Event Host,3.85,0
146,36,1,1,0,1,3,3,62.4,1,0,0,0,0,0,0,1,1,8,7,10,8,8,2,1,1,1,6,40,0,1,Education & Humanities,Career Counselor,3.48,0
147,39,3,0,2,1,3,3,67.9,0,2,0,0,0,9,0,1,1,3,7,5,5,8,1,1,2,1,7,40,0,1,Events & PR,Corporate Event Host,4.06,0
148,19,3,1,0,1,1,3,70.8,1,2,0,48,6,3,0,0,1,3,3,4,4,4,1,3,2,1,1,40,0,0,Manual & Vocational,Carpenter,4.97,0
149,27,3,1,1,1,2,1,71.0,1,2,0,12,6,8,0,1,0,9,6,9,2,8,1,1,2,0,6,40,0,0,Education & Humanities,Translator,5.72,0
150,30,3,1,1,1,1,2,74.3,0,1,0,36,0,3,0,0,0,10,4,5,5,5,3,2,4,1,10,40,1,1,GreenTech & Science,Lab Assistant,7.35,1
151,38,3,1,1,0,2,3,70.9,1,1,1,48,0,2,0,1,0,9,7,9,7,9,3,3,5,1,2,30,1,0,Finance & Business,Stock Trader,6.22,1
152,23,3,1,2,0,2,2,61.4,1,0,1,0,0,9,1,0,0,8,8,8,10,6,3,5,4,1,5,40,0,1,Manual & Vocational,Carpenter,3.29,0
153,29,2,1,1,0,2,1,62.1,1,0,1,0,6,7,1,1,1,5,4,9,2,5,2,1,5,1,9,50,0,0,Media & Content,Podcast Host,5.82,0
154,29,3,1,2,1,3,2,77.3,1,0,0,24,24,1,1,0,0,6,8,9,6,5,2,5,3,1,3,40,0,0,Finance & Business,Stock Trader,6.1,1
155,37,3,1,2,1,2,2,71.5,1,1,1,60,12,0,0,1,0,8,8,7,10,9,1,3,2,0,9,50,1,1,Media & Content,Video Editor,7.02,1
